0.000575x + 11292.81+..~..=11099.587536551597	 8376 Points (+/- 317.637536551596)	[8/13/2019 - 20:53:59]
0.000474x + 11292.81+..~..=11098.226283888333	 8378 Points (+/- 316.2762838883318)	[8/13/2019 - 20:54:24]
0.000422x + 11292.81+..~..=11101.610254420593	 8379 Points (+/- 324.180254420593)	[8/13/2019 - 20:54:48]
0.000320x + 11292.81+..~..=11099.580536799702	 8381 Points (+/- 322.1505367997015)	[8/13/2019 - 20:55:12]
0.000218x + 11292.81+..~..=11094.291445751356	 8383 Points (+/- 312.78144575135593)	[8/13/2019 - 20:55:37]
0.000168x + 11292.81+..~..=11093.681304419068	 8384 Points (+/- 312.1713044190674)	[8/13/2019 - 20:56:1]
0.000065x + 11292.81+..~..=11104.813133143527	 8386 Points (+/- 336.4831331435271)	[8/13/2019 - 20:56:23]
0.000065x + 11292.81+..~..=11104.813133143527	 8386 Points (+/- 336.4831331435271)	[8/13/2019 - 20:56:25]
0.000013x + 11292.81+..~..=11103.462671890004	 8387 Points (+/- 335.1326718900036)	[8/13/2019 - 20:56:50]
-0.000090x + 11292.81+..~..=11103.162553304108	 8389 Points (+/- 337.15255330410764)	[8/13/2019 - 20:57:14]
-0.000194x + 11292.81+..~..=11090.504128112108	 8391 Points (+/- 324.4941281121082)	[8/13/2019 - 20:57:38]
-0.000245x + 11292.81+..~..=11089.6561253882	 8392 Points (+/- 323.6461253881989)	[8/13/2019 - 20:58:3]
-0.000350x + 11292.81+..~..=11091.952825471779	 8394 Points (+/- 330.9728254717793)	[8/13/2019 - 20:58:27]
-0.000402x + 11292.81+..~..=11090.78902038944	 8395 Points (+/- 329.8090203894408)	[8/13/2019 - 20:58:51]
-0.000506x + 11292.81+..~..=11088.699680684203	 8397 Points (+/- 327.7196806842039)	[8/13/2019 - 20:59:16]
-0.000611x + 11292.81+..~..=11092.702135637555	 8399 Points (+/- 338.64213563755584)	[8/13/2019 - 20:59:40]
-0.000663x + 11292.81+..~..=11087.372243493292	 8400 Points (+/- 333.31224349329204)	[8/13/2019 - 21:0:4]
-0.000770x + 11292.81+..~..=11096.368393862995	 8402 Points (+/- 360.8083938629952)	[8/13/2019 - 21:0:29]
-0.000823x + 11292.81+..~..=11080.801236023526	 8403 Points (+/- 345.24123602352665)	[8/13/2019 - 21:0:53]
-0.004897x + 11292.81+..~..=11026.131078331913	 8483 Points (+/- 322.0310783319128)	[8/13/2019 - 21:21:10]
-0.005013x + 11292.81+..~..=11025.782210145291	 8485 Points (+/- 376.6822101452908)	[8/13/2019 - 21:21:37]
-0.005129x + 11292.81+..~..=11023.9837458916	 8487 Points (+/- 374.8837458916005)	[8/13/2019 - 21:22:4]
-0.005187x + 11292.81+..~..=11022.473304529933	 8488 Points (+/- 372.60330452993185)	[8/13/2019 - 21:22:32]
-0.005303x + 11292.81+..~..=11020.865898811979	 8490 Points (+/- 370.9958988119779)	[8/13/2019 - 21:22:59]
-0.005418x + 11292.81+..~..=11012.64648273686	 8492 Points (+/- 355.39648273686)	[8/13/2019 - 21:23:27]
-0.005532x + 11292.81+..~..=11012.170087906494	 8494 Points (+/- 354.9200879064938)	[8/13/2019 - 21:23:54]
-0.005646x + 11292.81+..~..=11012.860681250753	 8496 Points (+/- 357.29068125075355)	[8/13/2019 - 21:24:21]
-0.005703x + 11292.81+..~..=11012.227069627746	 8497 Points (+/- 356.65706962774675)	[8/13/2019 - 21:24:49]
-0.005817x + 11292.81+..~..=11010.878298972177	 8499 Points (+/- 355.308298972177)	[8/13/2019 - 21:25:16]
-0.005931x + 11292.81+..~..=11011.034793980725	 8501 Points (+/- 357.25479398072457)	[8/13/2019 - 21:25:44]
-0.006045x + 11292.81+..~..=11011.808555246103	 8503 Points (+/- 358.02855524610277)	[8/13/2019 - 21:26:11]
-0.006103x + 11292.81+..~..=11009.164270389796	 8504 Points (+/- 368.7342703897957)	[8/13/2019 - 21:26:38]
-0.006219x + 11292.81+..~..=11007.387479148685	 8506 Points (+/- 366.9574791486848)	[8/13/2019 - 21:27:6]
-0.006335x + 11292.81+..~..=11000.888198491999	 8508 Points (+/- 354.5281984919984)	[8/13/2019 - 21:27:33]
-0.006449x + 11292.81+..~..=11000.509575595052	 8510 Points (+/- 354.1495755950509)	[8/13/2019 - 21:28:0]
-0.006563x + 11292.81+..~..=10996.804670021444	 8512 Points (+/- 347.3646700214431)	[8/13/2019 - 21:28:28]
-0.006620x + 11292.81+..~..=10996.48803945469	 8513 Points (+/- 347.0480394546903)	[8/13/2019 - 21:28:55]
-0.006734x + 11292.81+..~..=10995.590622517242	 8515 Points (+/- 346.1506225172416)	[8/13/2019 - 21:29:22]
